image_id,absolute_path,relative_path,top_level_folder,file_name,extension,file_size_bytes,modified_time_ns,sha256,duplicate_group_id,duplicate_count,duplicate_role,canonical_relative_path,cohort_id,partner,location,experiment,sampling_date,timepoint,bbch,expected_cohort_images,label_status,label_sources,is_training_subset,width,height,image_mode,image_read_status,image_read_error,qr_payload,qr_status,plot_group_id,plot_group_size_all_dates,views_in_same_cohort_and_plot,view_index_within_cohort_and_plot
img_3fbdc68a57330263fe7f,/home/nfs/data/nvme_datasets/Pictures_CFSB_leaf_damage/20251020_113029.jpg,20251020_113029.jpg,__ROOT__,20251020_113029.jpg,.jpg,7728987,1762711582000000000,3fbdc68a57330263fe7ff6026c21a9c776b7f852e02e3c04f6f9941fc4fed163,,1,unique,20251020_113029.jpg,wg_insects_t2_first_bbch15,JLU,Weilburger Grenze,Insects,2025-10-20,T2_first_half,BBCH15,360,unlabeled,,False,4000,3000,RGB,ok,,,not_detected,,,,
img_5294894da3408a35f306,/home/nfs/data/nvme_datasets/Pictures_CFSB_leaf_damage/2025_09_12_RSFB_01_NPZi/2025_09_12_RSFB_01_NPZi/20250912_080046.jpg,2025_09_12_RSFB_01_NPZi/2025_09_12_RSFB_01_NPZi/20250912_080046.jpg,2025_09_12_RSFB_01_NPZi,20250912_080046.jpg,.jpg,5052062,1761798962000000000,5294894da3408a35f30644666774917268a1eae9cc7e541fc9f480c0e9419bb3,,1,unique,2025_09_12_RSFB_01_NPZi/2025_09_12_RSFB_01_NPZi/20250912_080046.jpg,npzi_malchow_t1_bbch10,NPZi,Malchow,Insects,2025-09-12,T1,BBCH10,900,unlabeled,,False,4000,3000,RGB,ok,,5_A4C34_R4S_470_1_5,decoded,plot_a395a823e2873c0e596c,2,2,1
img_55191e0d59aed03ba004,/home/nfs/data/nvme_datasets/Pictures_CFSB_leaf_damage/2025_09_12_RSFB_01_NPZi/2025_09_12_RSFB_01_NPZi/20250912_080203.jpg,2025_09_12_RSFB_01_NPZi/2025_09_12_RSFB_01_NPZi/20250912_080203.jpg,2025_09_12_RSFB_01_NPZi,20250912_080203.jpg,.jpg,5298922,1761798962000000000,55191e0d59aed03ba004cb16651f3d3cbdf95fe923ee95d984ac5ab50b46600d,,1,unique,2025_09_12_RSFB_01_NPZi/2025_09_12_RSFB_01_NPZi/20250912_080203.jpg,npzi_malchow_t1_bbch10,NPZi,Malchow,Insects,2025-09-12,T1,BBCH10,900,unlabeled,,False,4000,3000,RGB,ok,,,not_detected,,,,
img_cfdce99c835cf0f3704d,/home/nfs/data/nvme_datasets/Pictures_CFSB_leaf_damage/2025_09_12_RSFB_01_NPZi/2025_09_12_RSFB_01_NPZi/20250912_080232.jpg,2025_09_12_RSFB_01_NPZi/2025_09_12_RSFB_01_NPZi/20250912_080232.jpg,2025_09_12_RSFB_01_NPZi,20250912_080232.jpg,.jpg,5742442,1761798962000000000,cfdce99c835cf0f3704d6609a3ee0e44724390f3c7efb2c346eaac617eecb2cd,,1,unique,2025_09_12_RSFB_01_NPZi/2025_09_12_RSFB_01_NPZi/20250912_080232.jpg,npzi_malchow_t1_bbch10,NPZi,Malchow,Insects,2025-09-12,T1,BBCH10,900,unlabeled,,False,4000,3000,RGB,ok,,5_A4C34_R4S_470_1_5,decoded,plot_a395a823e2873c0e596c,2,2,2
img_282e399200063413d938,/home/nfs/data/nvme_datasets/Pictures_CFSB_leaf_damage/2025_09_12_RSFB_01_NPZi/2025_09_12_RSFB_01_NPZi/20250912_080259.jpg,2025_09_12_RSFB_01_NPZi/2025_09_12_RSFB_01_NPZi/20250912_080259.jpg,2025_09_12_RSFB_01_NPZi,20250912_080259.jpg,.jpg,4836473,1761798962000000000,282e399200063413d938f63834c117bf679cdc6c1f5e1e98f1d027b5f80699c4,,1,unique,2025_09_12_RSFB_01_NPZi/2025_09_12_RSFB_01_NPZi/20250912_080259.jpg,npzi_malchow_t1_bbch10,NPZi,Malchow,Insects,2025-09-12,T1,BBCH10,900,unlabeled,,False,4000,3000,RGB,ok,,6_Askari_R4S_212_1_6,decoded,plot_af88ecc239798a75d173,1,1,1
img_fd233e6ad6171953163d,/home/nfs/data/nvme_datasets/Pictures_CFSB_leaf_damage/2025_09_12_RSFB_01_NPZi/2025_09_12_RSFB_01_NPZi/20250912_080318.jpg,2025_09_12_RSFB_01_NPZi/2025_09_12_RSFB_01_NPZi/20250912_080318.jpg,2025_09_12_RSFB_01_NPZi,20250912_080318.jpg,.jpg,5318486,1761798960000000000,fd233e6ad6171953163d87cc34f8370692db1a0e35aae509af0eafed871806a5,,1,unique,2025_09_12_RSFB_01_NPZi/2025_09_12_RSFB_01_NPZi/20250912_080318.jpg,npzi_malchow_t1_bbch10,NPZi,Malchow,Insects,2025-09-12,T1,BBCH10,900,unlabeled,,False,4000,3000,RGB,ok,,,not_detected,,,,
img_a6e465aaa1ee5c944b1b,/home/nfs/data/nvme_datasets/Pictures_CFSB_leaf_damage/2025_09_12_RSFB_01_NPZi/2025_09_12_RSFB_01_NPZi/20250912_080332.jpg,2025_09_12_RSFB_01_NPZi/2025_09_12_RSFB_01_NPZi/20250912_080332.jpg,2025_09_12_RSFB_01_NPZi,20250912_080332.jpg,.jpg,4913633,1761798962000000000,a6e465aaa1ee5c944b1b356d34b29ca37dcd511298dd936e270b202d385df488,,1,unique,2025_09_12_RSFB_01_NPZi/2025_09_12_RSFB_01_NPZi/20250912_080332.jpg,npzi_malchow_t1_bbch10,NPZi,Malchow,Insects,2025-09-12,T1,BBCH10,900,unlabeled,,False,4000,3000,RGB,ok,,,not_detected,,,,
img_4317e129cef6631a3ec2,/home/nfs/data/nvme_datasets/Pictures_CFSB_leaf_damage/2025_09_12_RSFB_01_NPZi/2025_09_12_RSFB_01_NPZi/20250912_080351.jpg,2025_09_12_RSFB_01_NPZi/2025_09_12_RSFB_01_NPZi/20250912_080351.jpg,2025_09_12_RSFB_01_NPZi,20250912_080351.jpg,.jpg,5444132,1761798960000000000,4317e129cef6631a3ec2808f2c8b0e55ce2da203f5937c7ae9ffdbf3742fc614,,1,unique,2025_09_12_RSFB_01_NPZi/2025_09_12_RSFB_01_NPZi/20250912_080351.jpg,npzi_malchow_t1_bbch10,NPZi,Malchow,Insects,2025-09-12,T1,BBCH10,900,unlabeled,,False,4000,3000,RGB,ok,,,not_detected,,,,
img_c8921dc03aa5a9e63f5c,/home/nfs/data/nvme_datasets/Pictures_CFSB_leaf_damage/2025_09_12_RSFB_01_NPZi/2025_09_12_RSFB_01_NPZi/20250912_080406.jpg,2025_09_12_RSFB_01_NPZi/2025_09_12_RSFB_01_NPZi/20250912_080406.jpg,2025_09_12_RSFB_01_NPZi,20250912_080406.jpg,.jpg,5567543,1761798958000000000,c8921dc03aa5a9e63f5ce439974af8eb900b9f79974a7df10baf5f9caf3af8e3,,1,unique,2025_09_12_RSFB_01_NPZi/2025_09_12_RSFB_01_NPZi/20250912_080406.jpg,npzi_malchow_t1_bbch10,NPZi,Malchow,Insects,2025-09-12,T1,BBCH10,900,unlabeled,,False,4000,3000,RGB,ok,,7_Wolynski_R4S_291_1_7,decoded,plot_12c52f40341de138a9c0,2,2,1
img_b2cdbff2cfb3f1df6a46,/home/nfs/data/nvme_datasets/Pictures_CFSB_leaf_damage/2025_09_12_RSFB_01_NPZi/2025_09_12_RSFB_01_NPZi/20250912_080435.jpg,2025_09_12_RSFB_01_NPZi/2025_09_12_RSFB_01_NPZi/20250912_080435.jpg,2025_09_12_RSFB_01_NPZi,20250912_080435.jpg,.jpg,5710994,1761798960000000000,b2cdbff2cfb3f1df6a461de8588340efcacce495ed46e179a744c5a18aaa37fc,,1,unique,2025_09_12_RSFB_01_NPZi/2025_09_12_RSFB_01_NPZi/20250912_080435.jpg,npzi_malchow_t1_bbch10,NPZi,Malchow,Insects,2025-09-12,T1,BBCH10,900,unlabeled,,False,4000,3000,RGB,ok,,7_Wolynski_R4S_291_1_7,decoded,plot_12c52f40341de138a9c0,2,2,2
img_233db41afa28c05bd91e,/home/nfs/data/nvme_datasets/Pictures_CFSB_leaf_damage/2025_09_12_RSFB_01_NPZi/2025_09_12_RSFB_01_NPZi/20250912_080537.jpg,2025_09_12_RSFB_01_NPZi/2025_09_12_RSFB_01_NPZi/20250912_080537.jpg,2025_09_12_RSFB_01_NPZi,20250912_080537.jpg,.jpg,5750725,1761798960000000000,233db41afa28c05bd91e4b5768b3f022572b3e1e8bb8b23ac55a2c37e39b2f91,,1,unique,2025_09_12_RSFB_01_NPZi/2025_09_12_RSFB_01_NPZi/20250912_080537.jpg,npzi_malchow_t1_bbch10,NPZi,Malchow,Insects,2025-09-12,T1,BBCH10,900,unlabeled,,False,4000,3000,RGB,ok,,,not_detected,,,,
