first_image,second_image,first_plot,second_plot,first_jlu,first_gau,second_jlu,second_gau,weight
2025_10_21_RSFB-Phenotyping_GG1_JLU/2025_10_21_RSFB-Phenotyping_GG1_JLU/20251021_124533.jpg,2025_10_21_RSFB-Phenotyping_GG1_JLU/2025_10_21_RSFB-Phenotyping_GG1_JLU/20251021_132424.jpg,plot_e8618a0059e03ec2f2fe,plot_04441862d5c5dd0b49cc,35.0,27.5,10.0,2.5,0.00017361111531499773
2025_10_21_RSFB-Phenotyping_GG1_JLU/2025_10_21_RSFB-Phenotyping_GG1_JLU/20251021_130423.jpg,2025_10_21_RSFB-Phenotyping_GG1_JLU/2025_10_21_RSFB-Phenotyping_GG1_JLU/20251021_124533.jpg,plot_8390a5f10d833e2ab881,plot_e8618a0059e03ec2f2fe,5.0,14.5,35.0,27.5,0.00017361111531499773
2025_10_21_RSFB-Phenotyping_GG1_JLU/2025_10_21_RSFB-Phenotyping_GG1_JLU/20251021_153759.jpg,2025_10_21_RSFB-Phenotyping_GG1_JLU/2025_10_21_RSFB-Phenotyping_GG1_JLU/20251021_124533.jpg,plot_6eb12f9531516cbd1434,plot_e8618a0059e03ec2f2fe,20.0,11.5,35.0,27.5,0.00017361111531499773
2025_10_21_RSFB-Phenotyping_GG1_JLU/2025_10_21_RSFB-Phenotyping_GG1_JLU/20251021_124533.jpg,2025_10_21_RSFB-Phenotyping_GG1_JLU/2025_10_21_RSFB-Phenotyping_GG1_JLU/20251021_131419.jpg,plot_e8618a0059e03ec2f2fe,plot_e26908bc9222e28c92ff,35.0,27.5,10.0,4.5,0.00017361111531499773
2025_10_21_RSFB-Phenotyping_GG1_JLU/2025_10_21_RSFB-Phenotyping_GG1_JLU/20251021_124533.jpg,2025_10_21_RSFB-Phenotyping_GG1_JLU/2025_10_21_RSFB-Phenotyping_GG1_JLU/20251021_125431.jpg,plot_e8618a0059e03ec2f2fe,plot_ccfe1e329b419e50732e,35.0,27.5,13.0,3.0,0.00017361111531499773
2025_10_21_RSFB-Phenotyping_GG1_JLU/2025_10_21_RSFB-Phenotyping_GG1_JLU/20251021_124533.jpg,2025_10_21_RSFB-Phenotyping_GG1_JLU/2025_10_21_RSFB-Phenotyping_GG1_JLU/20251021_155912.jpg,plot_e8618a0059e03ec2f2fe,plot_e898a4d9ed85e24ff050,35.0,27.5,20.0,11.5,0.00017361111531499773
2025_10_21_RSFB-Phenotyping_GG1_JLU/2025_10_21_RSFB-Phenotyping_GG1_JLU/20251021_124533.jpg,2025_10_21_RSFB-Phenotyping_GG1_JLU/2025_10_21_RSFB-Phenotyping_GG1_JLU/20251021_124358.jpg,plot_e8618a0059e03ec2f2fe,plot_e77622de4cce1b168140,35.0,27.5,3.0,11.0,0.00017361111531499773
2025_10_21_RSFB-Phenotyping_GG1_JLU/2025_10_21_RSFB-Phenotyping_GG1_JLU/20251021_124533.jpg,2025_10_21_RSFB-Phenotyping_GG1_JLU/2025_10_21_RSFB-Phenotyping_GG1_JLU/20251021_155808.jpg,plot_e8618a0059e03ec2f2fe,plot_7b5226474d03f55ab84a,35.0,27.5,2.0,15.0,0.00017361111531499773
2025_10_21_RSFB-Phenotyping_GG1_JLU/2025_10_21_RSFB-Phenotyping_GG1_JLU/20251021_155835.jpg,2025_10_21_RSFB-Phenotyping_GG1_JLU/2025_10_21_RSFB-Phenotyping_GG1_JLU/20251021_124533.jpg,plot_c56b353ccd4d762a32d5,plot_e8618a0059e03ec2f2fe,20.0,13.0,35.0,27.5,0.00017361111531499773
2025_10_21_RSFB-Phenotyping_GG1_JLU/2025_10_21_RSFB-Phenotyping_GG1_JLU/20251021_160831.jpg,2025_10_21_RSFB-Phenotyping_GG1_JLU/2025_10_21_RSFB-Phenotyping_GG1_JLU/20251021_124533.jpg,plot_31ff4a85b21ababa7de0,plot_e8618a0059e03ec2f2fe,1.0,9.5,35.0,27.5,0.00017361111531499773
2025_10_21_RSFB-Phenotyping_GG1_JLU/2025_10_21_RSFB-Phenotyping_GG1_JLU/20251021_124533.jpg,2025_10_21_RSFB-Phenotyping_GG1_JLU/2025_10_21_RSFB-Phenotyping_GG1_JLU/20251021_130737.jpg,plot_e8618a0059e03ec2f2fe,plot_4c9e8c4301206d84387b,35.0,27.5,13.0,2.0,0.00017361111531499773
2025_10_21_RSFB-Phenotyping_GG1_JLU/2025_10_21_RSFB-Phenotyping_GG1_JLU/20251021_124533.jpg,2025_10_21_RSFB-Phenotyping_GG1_JLU/2025_10_21_RSFB-Phenotyping_GG1_JLU/20251021_162544.jpg,plot_e8618a0059e03ec2f2fe,plot_f2bc805c9b8565c243bf,35.0,27.5,20.0,12.5,0.00017361111531499773
2025_10_21_RSFB-Phenotyping_GG1_JLU/2025_10_21_RSFB-Phenotyping_GG1_JLU/20251021_155302.jpg,2025_10_21_RSFB-Phenotyping_GG1_JLU/2025_10_21_RSFB-Phenotyping_GG1_JLU/20251021_124533.jpg,plot_cb17d6bcad8ffccbde51,plot_e8618a0059e03ec2f2fe,1.0,10.5,35.0,27.5,0.00017361111531499773
2025_10_21_RSFB-Phenotyping_GG1_JLU/2025_10_21_RSFB-Phenotyping_GG1_JLU/20251021_124533.jpg,2025_10_21_RSFB-Phenotyping_GG1_JLU/2025_10_21_RSFB-Phenotyping_GG1_JLU/20251021_161857.jpg,plot_e8618a0059e03ec2f2fe,plot_490a77dae7954530a2a4,35.0,27.5,5.0,13.300000190734863,0.00017361111531499773
2025_10_21_RSFB-Phenotyping_GG1_JLU/2025_10_21_RSFB-Phenotyping_GG1_JLU/20251021_153503.jpg,2025_10_21_RSFB-Phenotyping_GG1_JLU/2025_10_21_RSFB-Phenotyping_GG1_JLU/20251021_124533.jpg,plot_3b57a77095a5f5e8895a,plot_e8618a0059e03ec2f2fe,22.0,11.0,35.0,27.5,0.00017361111531499773
2025_10_21_RSFB-Phenotyping_GG1_JLU/2025_10_21_RSFB-Phenotyping_GG1_JLU/20251021_124533.jpg,2025_10_21_RSFB-Phenotyping_GG1_JLU/2025_10_21_RSFB-Phenotyping_GG1_JLU/20251021_162109.jpg,plot_e8618a0059e03ec2f2fe,plot_60d8a72fe06bef6e6da4,35.0,27.5,1.0,6.400000095367432,0.00017361111531499773
