image_id,absolute_path,relative_path,file_name,sha256,cohort_id,partner,location,experiment,sampling_date,timepoint,bbch,plot_group_id
img_3fbdc68a57330263fe7f,/home/nfs/data/nvme_datasets/Pictures_CFSB_leaf_damage/20251020_113029.jpg,20251020_113029.jpg,20251020_113029.jpg,3fbdc68a57330263fe7ff6026c21a9c776b7f852e02e3c04f6f9941fc4fed163,wg_insects_t2_first_bbch15,JLU,Weilburger Grenze,Insects,2025-10-20,T2_first_half,BBCH15,image_a85338fc6e391c1f3e5f
img_5294894da3408a35f306,/home/nfs/data/nvme_datasets/Pictures_CFSB_leaf_damage/2025_09_12_RSFB_01_NPZi/2025_09_12_RSFB_01_NPZi/20250912_080046.jpg,2025_09_12_RSFB_01_NPZi/2025_09_12_RSFB_01_NPZi/20250912_080046.jpg,20250912_080046.jpg,5294894da3408a35f30644666774917268a1eae9cc7e541fc9f480c0e9419bb3,npzi_malchow_t1_bbch10,NPZi,Malchow,Insects,2025-09-12,T1,BBCH10,plot_b87137e0d1a8779dc244
img_55191e0d59aed03ba004,/home/nfs/data/nvme_datasets/Pictures_CFSB_leaf_damage/2025_09_12_RSFB_01_NPZi/2025_09_12_RSFB_01_NPZi/20250912_080203.jpg,2025_09_12_RSFB_01_NPZi/2025_09_12_RSFB_01_NPZi/20250912_080203.jpg,20250912_080203.jpg,55191e0d59aed03ba004cb16651f3d3cbdf95fe923ee95d984ac5ab50b46600d,npzi_malchow_t1_bbch10,NPZi,Malchow,Insects,2025-09-12,T1,BBCH10,image_c9659298308ffb2bb1f3
img_cfdce99c835cf0f3704d,/home/nfs/data/nvme_datasets/Pictures_CFSB_leaf_damage/2025_09_12_RSFB_01_NPZi/2025_09_12_RSFB_01_NPZi/20250912_080232.jpg,2025_09_12_RSFB_01_NPZi/2025_09_12_RSFB_01_NPZi/20250912_080232.jpg,20250912_080232.jpg,cfdce99c835cf0f3704d6609a3ee0e44724390f3c7efb2c346eaac617eecb2cd,npzi_malchow_t1_bbch10,NPZi,Malchow,Insects,2025-09-12,T1,BBCH10,plot_b87137e0d1a8779dc244
img_282e399200063413d938,/home/nfs/data/nvme_datasets/Pictures_CFSB_leaf_damage/2025_09_12_RSFB_01_NPZi/2025_09_12_RSFB_01_NPZi/20250912_080259.jpg,2025_09_12_RSFB_01_NPZi/2025_09_12_RSFB_01_NPZi/20250912_080259.jpg,20250912_080259.jpg,282e399200063413d938f63834c117bf679cdc6c1f5e1e98f1d027b5f80699c4,npzi_malchow_t1_bbch10,NPZi,Malchow,Insects,2025-09-12,T1,BBCH10,plot_42d05f723b800451c1e4
img_fd233e6ad6171953163d,/home/nfs/data/nvme_datasets/Pictures_CFSB_leaf_damage/2025_09_12_RSFB_01_NPZi/2025_09_12_RSFB_01_NPZi/20250912_080318.jpg,2025_09_12_RSFB_01_NPZi/2025_09_12_RSFB_01_NPZi/20250912_080318.jpg,20250912_080318.jpg,fd233e6ad6171953163d87cc34f8370692db1a0e35aae509af0eafed871806a5,npzi_malchow_t1_bbch10,NPZi,Malchow,Insects,2025-09-12,T1,BBCH10,image_96cf22536fd852c08221
img_a6e465aaa1ee5c944b1b,/home/nfs/data/nvme_datasets/Pictures_CFSB_leaf_damage/2025_09_12_RSFB_01_NPZi/2025_09_12_RSFB_01_NPZi/20250912_080332.jpg,2025_09_12_RSFB_01_NPZi/2025_09_12_RSFB_01_NPZi/20250912_080332.jpg,20250912_080332.jpg,a6e465aaa1ee5c944b1b356d34b29ca37dcd511298dd936e270b202d385df488,npzi_malchow_t1_bbch10,NPZi,Malchow,Insects,2025-09-12,T1,BBCH10,image_41c96551b9f5bcabd5df
img_4317e129cef6631a3ec2,/home/nfs/data/nvme_datasets/Pictures_CFSB_leaf_damage/2025_09_12_RSFB_01_NPZi/2025_09_12_RSFB_01_NPZi/20250912_080351.jpg,2025_09_12_RSFB_01_NPZi/2025_09_12_RSFB_01_NPZi/20250912_080351.jpg,20250912_080351.jpg,4317e129cef6631a3ec2808f2c8b0e55ce2da203f5937c7ae9ffdbf3742fc614,npzi_malchow_t1_bbch10,NPZi,Malchow,Insects,2025-09-12,T1,BBCH10,image_46e3bdbf33e87e4cdd41
img_c8921dc03aa5a9e63f5c,/home/nfs/data/nvme_datasets/Pictures_CFSB_leaf_damage/2025_09_12_RSFB_01_NPZi/2025_09_12_RSFB_01_NPZi/20250912_080406.jpg,2025_09_12_RSFB_01_NPZi/2025_09_12_RSFB_01_NPZi/20250912_080406.jpg,20250912_080406.jpg,c8921dc03aa5a9e63f5ce439974af8eb900b9f79974a7df10baf5f9caf3af8e3,npzi_malchow_t1_bbch10,NPZi,Malchow,Insects,2025-09-12,T1,BBCH10,plot_28c05f10d133eed4432f
img_b2cdbff2cfb3f1df6a46,/home/nfs/data/nvme_datasets/Pictures_CFSB_leaf_damage/2025_09_12_RSFB_01_NPZi/2025_09_12_RSFB_01_NPZi/20250912_080435.jpg,2025_09_12_RSFB_01_NPZi/2025_09_12_RSFB_01_NPZi/20250912_080435.jpg,20250912_080435.jpg,b2cdbff2cfb3f1df6a461de8588340efcacce495ed46e179a744c5a18aaa37fc,npzi_malchow_t1_bbch10,NPZi,Malchow,Insects,2025-09-12,T1,BBCH10,plot_28c05f10d133eed4432f
img_233db41afa28c05bd91e,/home/nfs/data/nvme_datasets/Pictures_CFSB_leaf_damage/2025_09_12_RSFB_01_NPZi/2025_09_12_RSFB_01_NPZi/20250912_080537.jpg,2025_09_12_RSFB_01_NPZi/2025_09_12_RSFB_01_NPZi/20250912_080537.jpg,20250912_080537.jpg,233db41afa28c05bd91e4b5768b3f022572b3e1e8bb8b23ac55a2c37e39b2f91,npzi_malchow_t1_bbch10,NPZi,Malchow,Insects,2025-09-12,T1,BBCH10,image_4ae34cfd2142e467129e
img_26c512165614dde00bc9,/home/nfs/data/nvme_datasets/Pictures_CFSB_leaf_damage/2025_09_12_RSFB_01_NPZi/2025_09_12_RSFB_01_NPZi/20250912_080554.jpg,2025_09_12_RSFB_01_NPZi/2025_09_12_RSFB_01_NPZi/20250912_080554.jpg,20250912_080554.jpg,26c512165614dde00bc9bc828cdaa45d72b4a3d70c881854697afdc9046f419f,npzi_malchow_t1_bbch10,NPZi,Malchow,Insects,2025-09-12,T1,BBCH10,plot_16ad56828eb2e98de076
img_0613d95be91dcc9a2bd2,/home/nfs/data/nvme_datasets/Pictures_CFSB_leaf_damage/2025_09_12_RSFB_01_NPZi/2025_09_12_RSFB_01_NPZi/20250912_080613.jpg,2025_09_12_RSFB_01_NPZi/2025_09_12_RSFB_01_NPZi/20250912_080613.jpg,20250912_080613.jpg,0613d95be91dcc9a2bd273ad0b659d9820ee79f49b35a3a113b32c4405e570ac,npzi_malchow_t1_bbch10,NPZi,Malchow,Insects,2025-09-12,T1,BBCH10,image_7c18f276e0ef8eff085d
