filename,target,new_prediction,target_old,previous_prediction,new_absolute_error,previous_absolute_error,absolute_error_reduction
2025_09_15_Re4StRes_T1_DSV/IMG_2554.JPG,1.0,1.384059,1.0,0.9930744,0.38405895,0.006925599999999976,-0.377133352331543
2025_09_15_Re4StRes_T1_DSV/IMG_2561.JPG,5.0,2.5174723,5.0,2.1271014,2.4825277,2.8728986,0.390370867150879
2025_09_15_Re4StRes_T1_DSV/IMG_2570.JPG,2.0,2.9766002,2.0,2.5600834,0.97660017,0.5600833999999999,-0.41651677013549815
2025_09_15_Re4StRes_T1_DSV/IMG_2575.JPG,12.0,0.97998,12.0,0.571784,11.02002,11.428216,0.4081964687500008
2025_09_15_Re4StRes_T1_DSV/IMG_2593.JPG,10.0,2.0575194,10.0,1.6532412,7.9424806,8.3467588,0.4042782358825683
2025_09_15_Re4StRes_T1_DSV/IMG_2596.JPG,5.0,1.6534352,5.0,1.2441335,3.3465648,3.7558664999999998,0.40930173025512673
2025_09_15_Re4StRes_T1_DSV/IMG_2597.JPG,4.0,1.7502284,4.0,1.3255925,2.2497716,2.6744075,0.42463590499877935
2025_09_15_Re4StRes_T1_DSV/IMG_2600.JPG,7.0,2.5077949,7.0,2.09091,4.492205,4.90909,0.41688485702514644
2025_09_15_Re4StRes_T1_DSV/IMG_2602.JPG,3.0,2.6523857,3.0,2.2402835,0.3476143,0.7597165000000001,0.412102211669922
2025_09_15_Re4StRes_T1_DSV/IMG_2606.JPG,18.0,3.0784721,18.0,2.6804814,14.921528,15.3195186,0.3979907374511722
2025_09_15_Re4StRes_T1_DSV/IMG_2616.JPG,14.0,5.24693,14.0,4.8515143,8.75307,9.1484857,0.39541582237548845
2025_09_15_Re4StRes_T1_DSV/IMG_2640.JPG,45.0,7.352589,45.0,6.94527,37.64741,38.05473,0.4073186535644524
2025_09_15_Re4StRes_T1_DSV/IMG_2650.JPG,2.0,1.9717994,2.0,1.5688748,0.028200626,0.4311252000000001,0.4029245736267091
2025_09_15_Re4StRes_T1_DSV/IMG_2666.JPG,40.0,2.235219,40.0,1.8368769,37.764782,38.1631231,0.3983411480957031
2025_09_15_Re4StRes_T1_DSV/IMG_2667.JPG,10.0,0.9906893,10.0,0.5897422,9.009311,9.4102578,0.4009470776489259
2025_09_15_Re4StRes_T1_DSV/IMG_2671.JPG,8.0,4.6316195,8.0,4.2347956,3.3683805,3.7652044,0.3968238534301758
2025_09_15_Re4StRes_T1_DSV/IMG_2695.JPG,1.0,0.8298764,1.0,0.490695,0.17012358,0.509305,0.3391814228820801
2025_09_15_Re4StRes_T1_DSV/IMG_2698.JPG,7.0,0.63631296,7.0,0.27968693,6.363687,6.7203130699999996,0.3566260315783687
2025_09_15_Re4StRes_T1_DSV/IMG_2704.JPG,1.0,1.6138687,1.0,1.2725582,0.6138687,0.2725582,-0.3413105133789063
2025_09_15_Re4StRes_T1_DSV/IMG_2722.JPG,3.0,1.8075938,3.0,1.4756522,1.1924062,1.5243478,0.33194162247924797
2025_09_15_Re4StRes_T1_DSV/IMG_2726.JPG,8.0,3.6480055,8.0,3.337214,4.3519945,4.6627860000000005,0.3107914855346685
2025_09_15_Re4StRes_T1_DSV/IMG_2728.JPG,1.0,1.1135955,1.0,0.77023697,0.113595486,0.22976302999999998,0.11616754431274412
2025_09_15_Re4StRes_T1_DSV/IMG_2734.JPG,2.0,1.7277055,2.0,1.4038877,0.27229452,0.5961122999999999,0.3238177786682128
2025_09_15_Re4StRes_T1_DSV/IMG_2738.JPG,5.0,3.9471126,5.0,3.6025867,1.0528874,1.3974133000000002,0.344525860272217
2025_09_15_Re4StRes_T1_DSV/IMG_2740.JPG,17.0,1.4062996,17.0,1.0059114,15.5937,15.9940886,0.40038819106445267
2025_09_15_Re4StRes_T1_DSV/IMG_2741.JPG,6.0,1.1140137,6.0,0.7356219,4.8859863,5.2643781,0.37839177187500006
2025_09_15_Re4StRes_T1_DSV/IMG_2745.JPG,2.0,2.538694,2.0,2.2138095,0.5386939,0.21380949999999999,-0.324884404876709
2025_09_15_Re4StRes_T1_DSV/IMG_2758.JPG,3.0,3.3490286,3.0,2.9666424,0.3490286,0.03335759999999999,-0.3156709873413086
2025_09_15_Re4StRes_T1_DSV/IMG_2766.JPG,2.0,0.50077295,2.0,0.16935349,1.499227,1.83064651,0.33141946303344727
2025_09_15_Re4StRes_T1_DSV/IMG_2775.JPG,4.0,4.459079,4.0,4.0715666,0.4590788,0.0715665999999997,-0.3875121887573245
2025_09_15_Re4StRes_T1_DSV/IMG_2785.JPG,11.0,4.194434,11.0,3.8135207,6.805566,7.1864793,0.3809134659545901
2025_09_15_Re4StRes_T1_DSV/IMG_2790.JPG,1.0,0.9212432,1.0,0.58024406,0.07875681,0.41975594000000005,0.3409991307653809
2025_09_15_Re4StRes_T1_DSV/IMG_2796.JPG,1.0,0.5594096,1.0,0.22196484,0.44059038,0.77803516,0.3374447783776855
2025_09_15_Re4StRes_T1_DSV/IMG_2807.JPG,2.0,1.3202243,2.0,0.9889293,0.6797757,1.0110706999999999,0.3312949851257323
2025_09_15_Re4StRes_T1_DSV/IMG_2812.JPG,1.0,2.6586037,1.0,2.3148556,1.6586037,1.3148556,-0.3437480682128906
2025_09_15_Re4StRes_T1_DSV/IMG_2813.JPG,4.0,1.9712734,4.0,1.6079865,2.0287266,2.3920135,0.36328692224121095
2025_09_15_Re4StRes_T1_DSV/IMG_2818.JPG,5.0,1.7296629,5.0,1.376595,3.270337,3.623405,0.3530678952026367
2025_09_15_Re4StRes_T1_DSV/IMG_2823.JPG,3.0,1.790194,3.0,1.4314075,1.209806,1.5685925,0.35878653457641607
2025_09_15_Re4StRes_T1_DSV/IMG_2828.JPG,1.0,1.6806006,1.0,1.3300967,0.68060064,0.3300966999999999,-0.3505039431579591
2025_09_15_Re4StRes_T1_DSV/IMG_2832.JPG,18.0,1.8237457,18.0,1.4253631,16.176254,16.5746369,0.39838262753906406
2025_09_15_Re4StRes_T1_DSV/IMG_2834.JPG,3.0,1.9119911,3.0,1.5045519,1.0880089,1.4954481,0.40743921938476557
2025_09_15_Re4StRes_T1_DSV/IMG_2844.JPG,1.0,1.8574657,1.0,1.4662704,0.85746574,0.4662704,-0.3911953440185547
2025_09_15_Re4StRes_T1_DSV/IMG_2858.JPG,2.0,2.9200382,2.0,2.5039444,0.9200382,0.5039444,-0.4160938232666016
2025_09_15_Re4StRes_T1_DSV/IMG_2859.JPG,9.0,1.2582474,9.0,0.88435507,7.7417526,8.11564493,0.37389230548828145
2025_09_15_Re4StRes_T1_DSV/IMG_2863.JPG,1.0,0.7112222,1.0,0.34887934,0.28877783,0.65112066,0.3623428317834473
2025_09_15_Re4StRes_T1_DSV/IMG_2866.JPG,1.0,2.2268991,1.0,1.8747263,1.2268991,0.8747263000000001,-0.35217284703369134
2025_09_15_Re4StRes_T1_DSV/IMG_2874.JPG,1.0,0.96599436,1.0,0.5824094,0.034005642,0.41759060000000003,0.3835849580627442
2025_09_15_Re4StRes_T1_DSV/IMG_2876.JPG,6.0,2.3129935,6.0,1.9431286,3.6870065,4.0568714,0.3698649264587406
2025_09_15_Re4StRes_T1_DSV/IMG_2882.JPG,1.0,0.72144127,1.0,0.37031078,0.27855873,0.6296892199999999,0.3511304889208984
2025_09_15_Re4StRes_T1_DSV/IMG_2883.JPG,1.0,1.3518381,1.0,0.9461999,0.3518381,0.05380010000000002,-0.2980380118774414
2025_09_15_Re4StRes_T1_DSV/IMG_2893.JPG,1.0,1.070889,1.0,0.69933414,0.070888996,0.30066585999999995,0.22977686387573237
2025_09_15_Re4StRes_T1_DSV/IMG_2894.JPG,5.0,2.7203603,5.0,2.36066,2.2796397,2.63934,0.35970027908325175
2025_09_15_Re4StRes_T1_DSV/IMG_2895.JPG,25.0,4.1377482,25.0,3.7919004,20.862251,21.2080996,0.34584831826171936
2025_09_15_Re4StRes_T1_DSV/IMG_2900.JPG,15.0,2.9727197,15.0,2.64741,12.027281,12.35259,0.3253091925048821
2025_09_15_Re4StRes_T1_DSV/IMG_2908.JPG,2.0,1.0183821,2.0,0.6213727,0.9816179,1.3786273,0.39700937244873047
2025_09_15_Re4StRes_T1_DSV/IMG_2914.JPG,6.0,2.6522393,6.0,2.2935667,3.3477607,3.7064333,0.35867262266235356
2025_09_15_Re4StRes_T1_DSV/IMG_2944.JPG,18.0,1.4844179,18.0,1.1213503,16.515583,16.8786497,0.3630666616699223
2025_09_15_Re4StRes_T1_DSV/IMG_2960.JPG,8.0,2.9960036,8.0,2.6161098,5.0039964,5.3838902,0.37989382777709935
2025_09_15_Re4StRes_T1_DSV/IMG_2963.JPG,7.0,2.5879679,7.0,2.2268634,4.412032,4.7731366,0.36110447261962886
2025_09_15_Re4StRes_T1_DSV/IMG_2983.JPG,14.0,2.629702,14.0,2.280303,11.370298,11.719697,0.34939861437988284
2025_09_15_Re4StRes_T1_DSV/IMG_2985.JPG,10.0,4.2729015,10.0,3.8653522,5.7270985,6.1346478,0.40754933503417945
2025_09_15_Re4StRes_T1_DSV/IMG_2986.JPG,11.0,1.7499318,11.0,1.4184661,9.250069,9.5815339,0.3314652354492189
2025_09_15_Re4StRes_T1_DSV/IMG_2987.JPG,3.0,2.9637156,3.0,2.5704207,0.036284447,0.4295792999999999,0.3932948532836913
2025_09_15_Re4StRes_T1_DSV/IMG_3005.JPG,1.0,1.8675771,1.0,1.455369,0.8675771,0.4553689999999999,-0.41220807595825204
2025_09_15_Re4StRes_T1_DSV/IMG_3011.JPG,3.0,1.2817292,3.0,0.8954463,1.7182708,2.1045537,0.386282921343994
2025_09_15_Re4StRes_T1_DSV/IMG_3038.JPG,10.0,1.8947968,10.0,1.5416784,8.105204,8.4583216,0.3531179714599606
2025_09_15_Re4StRes_T1_DSV/IMG_3057.JPG,2.0,1.1058602,2.0,0.7126417,0.89413977,1.2873583,0.3932185333068847
2025_09_15_Re4StRes_T1_DSV/IMG_3067.JPG,3.0,0.91006374,3.0,0.50638485,2.0899363,2.49361515,0.4036788935913087
2025_09_15_Re4StRes_T1_DSV/IMG_3073.JPG,5.0,1.1449695,5.0,0.75090075,3.8550305,4.24909925,0.3940687133483891
2025_09_15_Re4StRes_T1_DSV/IMG_3078.JPG,4.0,0.52266693,4.0,0.16490316,3.477333,3.83509684,0.3577637711523436
2025_09_15_Re4StRes_T1_DSV/IMG_3085.JPG,10.0,2.5486803,10.0,2.2081637,7.4513197,7.7918363,0.34051660548095697
2025_09_15_Re4StRes_T1_DSV/IMG_3088.JPG,18.0,4.1834936,18.0,3.8286307,13.816506,14.1713693,0.3548629141967776
2025_09_15_Re4StRes_T1_DSV/IMG_3122.JPG,3.0,3.933702,3.0,3.573756,0.933702,0.5737559999999999,-0.3599459920349122
2025_09_15_Re4StRes_T1_DSV/IMG_3128.JPG,5.0,5.1259027,5.0,4.741329,0.12590265,0.25867099999999965,0.13276834725952114
2025_09_15_Re4StRes_T1_DSV/IMG_3134.JPG,3.0,2.510829,3.0,2.1521769,0.48917103,0.8478230999999998,0.3586520718627928
2025_09_15_Re4StRes_T1_DSV/IMG_3135.JPG,4.0,3.0775647,4.0,2.6878386,0.9224353,1.3121614,0.38972611633911125
2025_09_15_Re4StRes_T1_DSV/IMG_3143.JPG,3.0,8.439183,3.0,8.077436,5.439183,5.0774360000000005,-0.3617472351684565
2025_09_15_Re4StRes_T1_DSV/IMG_3159.JPG,21.0,4.052734,21.0,3.6530986,16.947266,17.3469014,0.39963577500000014
2025_09_15_Re4StRes_T1_DSV/IMG_3173.JPG,2.0,5.051509,2.0,4.7259817,3.051509,2.7259817,-0.3255272035034178
2025_09_15_Re4StRes_T1_DSV/IMG_3180.JPG,5.0,8.545988,5.0,8.1484375,3.545988,3.1484375,-0.3975505828857422
2025_09_15_Re4StRes_T1_DSV/IMG_3189.JPG,1.0,3.7883165,1.0,3.4064748,2.7883165,2.4064748,-0.3818416882659914
2025_09_15_Re4StRes_T1_DSV/IMG_3201.JPG,2.0,10.258279,2.0,9.916613,8.258279,7.916613,-0.34166584674072276
2025_09_15_Re4StRes_T1_DSV/IMG_3207.JPG,4.0,9.979521,4.0,9.6384945,5.979521,5.6384945,-0.341026297729492
2025_09_15_Re4StRes_T1_DSV/IMG_3214.JPG,1.0,4.1725707,1.0,3.813262,3.1725707,2.813262,-0.35930870541381843
2025_09_15_Re4StRes_T1_DSV/IMG_3273.JPG,5.0,8.245188,5.0,7.891063,3.2451878,2.891063,-0.3541247593994141
2025_09_15_Re4StRes_T1_DSV/IMG_3282.JPG,3.0,5.479899,3.0,5.127808,2.479899,2.127808,-0.35209092959594734
