image_id,sha256,relative_path,cohort_id,plot_group_id,pair_path,identity,level_index,requested_fraction,realized_fraction,kind
img_3fbdc68a57330263fe7f,3fbdc68a57330263fe7ff6026c21a9c776b7f852e02e3c04f6f9941fc4fed163,20251020_113029.jpg,wg_insects_t2_first_bbch15,image_a85338fc6e391c1f3e5f,cache/counterfactual_feeding_pairs/img_3fbdc68a57330263fe7f_1212b750f0cfac70.npz,1212b750f0cfac707969782f403806261f50cd17a40ffa890d5d1dbab76aec28,0,0.019999999552965164,0.019973641261458397,edge
img_3fbdc68a57330263fe7f,3fbdc68a57330263fe7ff6026c21a9c776b7f852e02e3c04f6f9941fc4fed163,20251020_113029.jpg,wg_insects_t2_first_bbch15,image_a85338fc6e391c1f3e5f,cache/counterfactual_feeding_pairs/img_3fbdc68a57330263fe7f_1212b750f0cfac70.npz,1212b750f0cfac707969782f403806261f50cd17a40ffa890d5d1dbab76aec28,1,0.05000000074505806,0.05001487955451012,edge
img_3fbdc68a57330263fe7f,3fbdc68a57330263fe7ff6026c21a9c776b7f852e02e3c04f6f9941fc4fed163,20251020_113029.jpg,wg_insects_t2_first_bbch15,image_a85338fc6e391c1f3e5f,cache/counterfactual_feeding_pairs/img_3fbdc68a57330263fe7f_1212b750f0cfac70.npz,1212b750f0cfac707969782f403806261f50cd17a40ffa890d5d1dbab76aec28,2,0.10000000149011612,0.1000552698969841,interior
img_3fbdc68a57330263fe7f,3fbdc68a57330263fe7ff6026c21a9c776b7f852e02e3c04f6f9941fc4fed163,20251020_113029.jpg,wg_insects_t2_first_bbch15,image_a85338fc6e391c1f3e5f,cache/counterfactual_feeding_pairs/img_3fbdc68a57330263fe7f_1212b750f0cfac70.npz,1212b750f0cfac707969782f403806261f50cd17a40ffa890d5d1dbab76aec28,3,0.20000000298023224,0.19974491000175476,edge
img_5294894da3408a35f306,5294894da3408a35f30644666774917268a1eae9cc7e541fc9f480c0e9419bb3,2025_09_12_RSFB_01_NPZi/2025_09_12_RSFB_01_NPZi/20250912_080046.jpg,npzi_malchow_t1_bbch10,plot_b87137e0d1a8779dc244,cache/counterfactual_feeding_pairs/img_5294894da3408a35f306_d3a1d455a2ffdec1.npz,d3a1d455a2ffdec1ea8b70697f5b940b11b993a96bb918189b3fcfbd10771891,0,0.019999999552965164,0.02002035081386566,interior
img_5294894da3408a35f306,5294894da3408a35f30644666774917268a1eae9cc7e541fc9f480c0e9419bb3,2025_09_12_RSFB_01_NPZi/2025_09_12_RSFB_01_NPZi/20250912_080046.jpg,npzi_malchow_t1_bbch10,plot_b87137e0d1a8779dc244,cache/counterfactual_feeding_pairs/img_5294894da3408a35f306_d3a1d455a2ffdec1.npz,d3a1d455a2ffdec1ea8b70697f5b940b11b993a96bb918189b3fcfbd10771891,1,0.05000000074505806,0.04981423169374466,edge
img_5294894da3408a35f306,5294894da3408a35f30644666774917268a1eae9cc7e541fc9f480c0e9419bb3,2025_09_12_RSFB_01_NPZi/2025_09_12_RSFB_01_NPZi/20250912_080046.jpg,npzi_malchow_t1_bbch10,plot_b87137e0d1a8779dc244,cache/counterfactual_feeding_pairs/img_5294894da3408a35f306_d3a1d455a2ffdec1.npz,d3a1d455a2ffdec1ea8b70697f5b940b11b993a96bb918189b3fcfbd10771891,2,0.10000000149011612,0.10038573294878006,edge
img_5294894da3408a35f306,5294894da3408a35f30644666774917268a1eae9cc7e541fc9f480c0e9419bb3,2025_09_12_RSFB_01_NPZi/2025_09_12_RSFB_01_NPZi/20250912_080046.jpg,npzi_malchow_t1_bbch10,plot_b87137e0d1a8779dc244,cache/counterfactual_feeding_pairs/img_5294894da3408a35f306_d3a1d455a2ffdec1.npz,d3a1d455a2ffdec1ea8b70697f5b940b11b993a96bb918189b3fcfbd10771891,3,0.20000000298023224,0.19977755844593048,edge
img_55191e0d59aed03ba004,55191e0d59aed03ba004cb16651f3d3cbdf95fe923ee95d984ac5ab50b46600d,2025_09_12_RSFB_01_NPZi/2025_09_12_RSFB_01_NPZi/20250912_080203.jpg,npzi_malchow_t1_bbch10,image_c9659298308ffb2bb1f3,cache/counterfactual_feeding_pairs/img_55191e0d59aed03ba004_238a3b57c0d20a42.npz,238a3b57c0d20a4232f1231c98b19e2d2b5cdf245cdabc73d60912dcaefca4ad,0,0.019999999552965164,0.020039204508066177,interior
img_55191e0d59aed03ba004,55191e0d59aed03ba004cb16651f3d3cbdf95fe923ee95d984ac5ab50b46600d,2025_09_12_RSFB_01_NPZi/2025_09_12_RSFB_01_NPZi/20250912_080203.jpg,npzi_malchow_t1_bbch10,image_c9659298308ffb2bb1f3,cache/counterfactual_feeding_pairs/img_55191e0d59aed03ba004_238a3b57c0d20a42.npz,238a3b57c0d20a4232f1231c98b19e2d2b5cdf245cdabc73d60912dcaefca4ad,1,0.05000000074505806,0.049974020570516586,interior
img_55191e0d59aed03ba004,55191e0d59aed03ba004cb16651f3d3cbdf95fe923ee95d984ac5ab50b46600d,2025_09_12_RSFB_01_NPZi/2025_09_12_RSFB_01_NPZi/20250912_080203.jpg,npzi_malchow_t1_bbch10,image_c9659298308ffb2bb1f3,cache/counterfactual_feeding_pairs/img_55191e0d59aed03ba004_238a3b57c0d20a42.npz,238a3b57c0d20a4232f1231c98b19e2d2b5cdf245cdabc73d60912dcaefca4ad,2,0.10000000149011612,0.09994804114103317,edge
img_55191e0d59aed03ba004,55191e0d59aed03ba004cb16651f3d3cbdf95fe923ee95d984ac5ab50b46600d,2025_09_12_RSFB_01_NPZi/2025_09_12_RSFB_01_NPZi/20250912_080203.jpg,npzi_malchow_t1_bbch10,image_c9659298308ffb2bb1f3,cache/counterfactual_feeding_pairs/img_55191e0d59aed03ba004_238a3b57c0d20a42.npz,238a3b57c0d20a4232f1231c98b19e2d2b5cdf245cdabc73d60912dcaefca4ad,3,0.20000000298023224,0.2001086324453354,edge
img_cfdce99c835cf0f3704d,cfdce99c835cf0f3704d6609a3ee0e44724390f3c7efb2c346eaac617eecb2cd,2025_09_12_RSFB_01_NPZi/2025_09_12_RSFB_01_NPZi/20250912_080232.jpg,npzi_malchow_t1_bbch10,plot_b87137e0d1a8779dc244,cache/counterfactual_feeding_pairs/img_cfdce99c835cf0f3704d_2db90e5c9b3fbb2f.npz,2db90e5c9b3fbb2ff728546c255eafb02889a75f95cdcff0a1168fc5ac9cbead,0,0.019999999552965164,0.020002372562885284,interior
img_cfdce99c835cf0f3704d,cfdce99c835cf0f3704d6609a3ee0e44724390f3c7efb2c346eaac617eecb2cd,2025_09_12_RSFB_01_NPZi/2025_09_12_RSFB_01_NPZi/20250912_080232.jpg,npzi_malchow_t1_bbch10,plot_b87137e0d1a8779dc244,cache/counterfactual_feeding_pairs/img_cfdce99c835cf0f3704d_2db90e5c9b3fbb2f.npz,2db90e5c9b3fbb2ff728546c255eafb02889a75f95cdcff0a1168fc5ac9cbead,1,0.05000000074505806,0.0496501550078392,edge
img_cfdce99c835cf0f3704d,cfdce99c835cf0f3704d6609a3ee0e44724390f3c7efb2c346eaac617eecb2cd,2025_09_12_RSFB_01_NPZi/2025_09_12_RSFB_01_NPZi/20250912_080232.jpg,npzi_malchow_t1_bbch10,plot_b87137e0d1a8779dc244,cache/counterfactual_feeding_pairs/img_cfdce99c835cf0f3704d_2db90e5c9b3fbb2f.npz,2db90e5c9b3fbb2ff728546c255eafb02889a75f95cdcff0a1168fc5ac9cbead,2,0.10000000149011612,0.10026880353689194,edge
img_cfdce99c835cf0f3704d,cfdce99c835cf0f3704d6609a3ee0e44724390f3c7efb2c346eaac617eecb2cd,2025_09_12_RSFB_01_NPZi/2025_09_12_RSFB_01_NPZi/20250912_080232.jpg,npzi_malchow_t1_bbch10,plot_b87137e0d1a8779dc244,cache/counterfactual_feeding_pairs/img_cfdce99c835cf0f3704d_2db90e5c9b3fbb2f.npz,2db90e5c9b3fbb2ff728546c255eafb02889a75f95cdcff0a1168fc5ac9cbead,3,0.20000000298023224,0.200399249792099,interior
