filename,cohort_id,manifest_split,source_image_path,processed_image_path,processed_width,processed_height,created,status,error
2025_09_15_Re4StRes_T1_DSV/IMG_2863.JPG,dsv_asendorf_t1_bbch11,pretrain,/home/nfs/data/nvme_datasets/Pictures_CFSB_leaf_damage/2025_09_15_Re4StRes_T1_DSV/IMG_2863.JPG,/home/user/tabbakhab1/dev/project/cache/grid_crops_multicohort_1400_inset075/IMG_2863_gridv3_f28f415f9ebb.jpg,1400,1400,False,ok,
2025_09_15_Re4StRes_T1_DSV/IMG_3189.JPG,dsv_asendorf_t1_bbch11,pretrain,/home/nfs/data/nvme_datasets/Pictures_CFSB_leaf_damage/2025_09_15_Re4StRes_T1_DSV/IMG_3189.JPG,/home/user/tabbakhab1/dev/project/cache/grid_crops_multicohort_1400_inset075/IMG_3189_gridv3_387920200499.jpg,1400,1400,False,ok,
2025_09_15_Re4StRes_T1_DSV/IMG_2858.JPG,dsv_asendorf_t1_bbch11,pretrain,/home/nfs/data/nvme_datasets/Pictures_CFSB_leaf_damage/2025_09_15_Re4StRes_T1_DSV/IMG_2858.JPG,/home/user/tabbakhab1/dev/project/cache/grid_crops_multicohort_1400_inset075/IMG_2858_gridv3_0881311a68ef.jpg,1400,1400,False,ok,
2025_09_15_Re4StRes_T1_DSV/IMG_3405.JPG,dsv_asendorf_t1_bbch11,pretrain,/home/nfs/data/nvme_datasets/Pictures_CFSB_leaf_damage/2025_09_15_Re4StRes_T1_DSV/IMG_3405.JPG,/home/user/tabbakhab1/dev/project/cache/grid_crops_multicohort_1400_inset075/IMG_3405_gridv3_7c6abd940f9b.jpg,1400,1400,False,ok,
2025_09_15_Re4StRes_T1_DSV/IMG_2570.JPG,dsv_asendorf_t1_bbch11,pretrain,/home/nfs/data/nvme_datasets/Pictures_CFSB_leaf_damage/2025_09_15_Re4StRes_T1_DSV/IMG_2570.JPG,/home/user/tabbakhab1/dev/project/cache/grid_crops_multicohort_1400_inset075/IMG_2570_gridv3_136d80fe665c.jpg,1400,1400,False,ok,
2025_09_15_Re4StRes_T1_DSV/IMG_2859.JPG,dsv_asendorf_t1_bbch11,pretrain,/home/nfs/data/nvme_datasets/Pictures_CFSB_leaf_damage/2025_09_15_Re4StRes_T1_DSV/IMG_2859.JPG,/home/user/tabbakhab1/dev/project/cache/grid_crops_multicohort_1400_inset075/IMG_2859_gridv3_f11cc06535e8.jpg,1400,1400,False,ok,
2025_09_15_Re4StRes_T1_DSV/IMG_2908.JPG,dsv_asendorf_t1_bbch11,pretrain,/home/nfs/data/nvme_datasets/Pictures_CFSB_leaf_damage/2025_09_15_Re4StRes_T1_DSV/IMG_2908.JPG,/home/user/tabbakhab1/dev/project/cache/grid_crops_multicohort_1400_inset075/IMG_2908_gridv3_237a8da678f2.jpg,1400,1400,False,ok,
2025_09_15_Re4StRes_T1_DSV/IMG_2866.JPG,dsv_asendorf_t1_bbch11,pretrain,/home/nfs/data/nvme_datasets/Pictures_CFSB_leaf_damage/2025_09_15_Re4StRes_T1_DSV/IMG_2866.JPG,,,,False,failed,"RuntimeError: Grid detection failed with LSD, Hough, and conservative boundary recovery. LSD result: Could not find three equally spaced steel bars. Detected clusters (position, support, angle): [(40.0, 1882.8, -0.1), (588.6, 1594.4, -0.4), (739.9, 163.4, 3.8), (1046.5, 62.1, -13.2), (1136.9, 2408.0, -0.3), (1171.3, 80.1, 1.4)]; Hough fallback: Could not find three equally spaced steel bars. Detected clusters (position, support, angle): [(22.8, 22960.7, -2.5), (57.6, 18694.9, -1.1), (92.0, 17347.7, -1.0), (104.4, 5452.1, 9.3), (137.4, 2740.2, 8.8), (170.1, 3418.9, -2.4), (206.5, 13150.4, 0.1), (249.5, 6255.9, -0.9), (1453.5, 2295.5, 5.7), (1510.9, 2683.2, 9.9), (1562.1, 2156.0, -3.0), (1578.0, 7599.1, 3.5)]; boundary recovery: Could not find three equally spaced steel bars. Detected clusters (position, support, angle): [(22.8, 22960.7, -2.5), (57.6, 18694.9, -1.1), (92.0, 17347.7, -1.0), (104.4, 5452.1, 9.3), (137.4, 2740.2, 8.8), (170.1, 3418.9, -2.4), (206.5, 13150.4, 0.1), (249.5, 6255.9, -0.9), (1453.5, 2295.5, 5.7), (1510.9, 2683.2, 9.9), (1562.1, 2156.0, -3.0), (1578.0, 7599.1, 3.5)]"
2025_09_15_Re4StRes_T1_DSV/IMG_2738.JPG,dsv_asendorf_t1_bbch11,pretrain,/home/nfs/data/nvme_datasets/Pictures_CFSB_leaf_damage/2025_09_15_Re4StRes_T1_DSV/IMG_2738.JPG,/home/user/tabbakhab1/dev/project/cache/grid_crops_multicohort_1400_inset075/IMG_2738_gridv3_9e6b8caeb2d7.jpg,1400,1400,False,ok,
2025_09_15_Re4StRes_T1_DSV/IMG_2666.JPG,dsv_asendorf_t1_bbch11,pretrain,/home/nfs/data/nvme_datasets/Pictures_CFSB_leaf_damage/2025_09_15_Re4StRes_T1_DSV/IMG_2666.JPG,/home/user/tabbakhab1/dev/project/cache/grid_crops_multicohort_1400_inset075/IMG_2666_gridv3_382923e22c33.jpg,1400,1400,False,ok,
2025_09_15_Re4StRes_T1_DSV/IMG_2667.JPG,dsv_asendorf_t1_bbch11,pretrain,/home/nfs/data/nvme_datasets/Pictures_CFSB_leaf_damage/2025_09_15_Re4StRes_T1_DSV/IMG_2667.JPG,/home/user/tabbakhab1/dev/project/cache/grid_crops_multicohort_1400_inset075/IMG_2667_gridv3_c8b20aaecd5d.jpg,1400,1400,False,ok,
2025_09_15_Re4StRes_T1_DSV/IMG_2790.JPG,dsv_asendorf_t1_bbch11,pretrain,/home/nfs/data/nvme_datasets/Pictures_CFSB_leaf_damage/2025_09_15_Re4StRes_T1_DSV/IMG_2790.JPG,/home/user/tabbakhab1/dev/project/cache/grid_crops_multicohort_1400_inset075/IMG_2790_gridv3_0e74dc333d24.jpg,1400,1400,False,ok,
2025_10_21_RSFB-Phenotyping_GG1_JLU/2025_10_21_RSFB-Phenotyping_GG1_JLU/20251021_123507.jpg,gg_insects_t1_bbch10,pretrain,/home/nfs/data/nvme_datasets/Pictures_CFSB_leaf_damage/2025_10_21_RSFB-Phenotyping_GG1_JLU/2025_10_21_RSFB-Phenotyping_GG1_JLU/20251021_123507.jpg,/home/user/tabbakhab1/dev/project/cache/grid_crops_multicohort_1400_inset075/20251021_123507_gridv3_320aef60ed39.jpg,1400,1400,True,ok,
2025_10_21_RSFB-Phenotyping_GG1_JLU/2025_10_21_RSFB-Phenotyping_GG1_JLU/20251021_123838.jpg,gg_insects_t1_bbch10,finetune,/home/nfs/data/nvme_datasets/Pictures_CFSB_leaf_damage/2025_10_21_RSFB-Phenotyping_GG1_JLU/2025_10_21_RSFB-Phenotyping_GG1_JLU/20251021_123838.jpg,/home/user/tabbakhab1/dev/project/cache/grid_crops_multicohort_1400_inset075/20251021_123838_gridv3_c1a4799c9cfc.jpg,1400,1400,True,ok,
